C,penalty,solver,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_recall_mean,train_accuracy_mean,train_accuracy_std,overfitting_gap
0.001,l2,lbfgs,balanced,0.6641065456282848,0.05101116100697162,0.6681511658452559,0.054752064830781565,0.7276625295508274,0.04409719765090873,0.68093533925802,0.6602836879432624,0.7105512737507131,0.0055309061409996845,0.04644472812242839
0.01,l2,lbfgs,balanced,0.6705805064500716,0.04702677113382171,0.6756214588506277,0.042535424494496224,0.7468692913174296,0.045665285931974525,0.6906773976020808,0.6666666666666667,0.7808145086665899,0.005058888841922846,0.11023400221651825
0.1,l2,lbfgs,balanced,0.6705566172957478,0.057035936289300634,0.6787198824180475,0.04941333408359297,0.7275563480550182,0.06351721146070027,0.6866111593952992,0.6730939716312057,0.885118387715704,0.0055908937457782165,0.21456177041995617
