C,penalty,solver,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_recall_mean,train_accuracy_mean,train_accuracy_std,overfitting_gap
0.001,l2,lbfgs,balanced,0.6029741997133302,0.037430403768889016,0.6199254973122102,0.04252934597966198,0.6178388271007952,0.04808419747027669,0.6117323318308318,0.6306294326241135,0.6033327124962675,0.004417071427060507,0.0003585127829373036
0.01,l2,lbfgs,balanced,0.6073339703774487,0.03516107794018211,0.6270960145305098,0.033617910812965925,0.662834260154739,0.052666206881628944,0.6151041645265709,0.6412677304964539,0.6092887572320127,0.0034392564131980603,0.0019547868545639613
0.1,l2,lbfgs,balanced,0.6532250358337315,0.03903179321381259,0.6653130582745707,0.045770956344367335,0.7100511766602192,0.04589542835389021,0.6605763425445225,0.673049645390071,0.6796743857408507,0.006846973459075831,0.026449349907119224
1.0,l2,lbfgs,balanced,0.6749522216913522,0.044498000463626175,0.6790434843433275,0.04738870138029152,0.7409379701267998,0.04543957460772433,0.6927724313376344,0.6708333333333334,0.7488436170558723,0.008483405255915942,0.07389139536452016
10.0,l2,lbfgs,balanced,0.6650143334925944,0.0611219372832723,0.673794538793714,0.0519356779801796,0.7426562835804857,0.056823184888045025,0.6815966179074099,0.66875,0.8422052428212019,0.005988318154203884,0.17719090932860748
100.0,l2,lbfgs,balanced,0.6540969899665552,0.061026817916845014,0.6644271580253223,0.057069450589723666,0.7126078605200945,0.0665383952114348,0.6671803907133901,0.664627659574468,0.9384865766157283,0.006604928031445694,0.28438958664917313
0.01,l1,liblinear,balanced,0.48467510750119447,0.0032976768956426584,0.0,0.0,0.5,0.0,0.0,0.0,0.4846826192228894,0.00036875155947444367,7.511721694941631e-06
0.1,l1,liblinear,balanced,0.5677974199713329,0.036815279573840745,0.5800145082620125,0.04331918156296448,0.5914690119277884,0.05450730361728814,0.5803054315047106,0.5816932624113476,0.5831575773163874,0.014727525829941471,0.01536015734505447
1.0,l1,liblinear,balanced,0.6454849498327759,0.046671148310750615,0.6564186599685979,0.04467979606492451,0.7132811492585428,0.04906942254356271,0.6572572400838225,0.6582003546099291,0.6925582330385834,0.005633554889907379,0.047073283205807503
