iter	Passed	Remaining
0	124	249264
1	207	207389
2	284	189085
3	355	177157
4	436	174245
5	530	176430
6	614	174908
7	692	172497
8	774	171363
9	854	170017
10	927	167689
11	1003	166186
12	1078	164889
13	1158	164290
14	1237	163791
15	1310	162501
16	1384	161475
17	1458	160629
18	1541	160746
19	1623	160725
20	1697	159958
21	1773	159498
22	1851	159184
23	1932	159069
24	2011	158897
25	2094	158991
26	2176	159030
27	2258	159051
28	2343	159262
29	2422	159102
30	2498	158684
31	2574	158355
32	2652	158079
33	2731	157926
34	2812	157916
35	2890	157675
36	2969	157517
37	3050	157489
38	3128	157313
39	3203	156949
40	3276	156544
41	3351	156221
42	3431	156177
43	3506	155886
44	3579	155487
45	3654	155247
46	3730	155008
47	3809	154909
48	3884	154651
49	3955	154270
50	4027	153899
51	4098	153551
52	4178	153496
53	4255	153368
54	4327	153048
55	4403	152849
56	4475	152565
57	4550	152354
58	4628	152269
59	4702	152047
60	4778	151882
61	4854	151753
62	4930	151594
63	5003	151354
64	5078	151186
65	5152	150974
66	5227	150809
67	5299	150581
68	5375	150446
69	5457	150471
70	5536	150428
71	5610	150236
72	5683	150040
73	5757	149839
74	5827	149561
75	5898	149337
76	5972	149159
77	6047	149007
78	6119	148813
79	6196	148719
80	6271	148588
81	6342	148355
82	6424	148383
83	6506	148411
84	6578	148218
85	6650	148023
86	6728	147939
87	6802	147793
88	6878	147690
89	6955	147620
90	7031	147500
91	7106	147373
92	7181	147249
93	7257	147147
94	7331	147016
95	7407	146907
96	7482	146795
97	7568	146890
98	7645	146800
99	7723	146743
100	7797	146615
101	7870	146459
102	7943	146297
103	8020	146224
104	8102	146237
105	8174	146055
106	8243	145839
107	8316	145692
108	8391	145585
109	8465	145454
110	8543	145400
111	8618	145287
112	8690	145129
113	8764	145000
114	8835	144830
115	8913	144764
116	9012	145050
117	9081	144834
118	9153	144686
119	9222	144488
120	9295	144344
121	9366	144181
122	9439	144045
123	9511	143906
124	9586	143802
125	9660	143676
126	9737	143601
127	9806	143419
128	9878	143280
129	9964	143330
130	10038	143220
131	10111	143087
132	10189	143033
133	10268	142995
134	10350	142985
135	10422	142852
136	10494	142709
137	10564	142539
138	10636	142411
139	10711	142316
140	10781	142150
141	10855	142032
142	10926	141889
143	10997	141749
144	11066	141570
145	11137	141427
146	11204	141240
147	11277	141123
148	11352	141035
149	11424	140906
150	11496	140779
151	11568	140647
152	11638	140496
153	11709	140364
154	11780	140226
155	11858	140172
156	11927	140020
157	11997	139865
158	12069	139744
159	12139	139608
160	12214	139520
161	12289	139435
162	12360	139302
163	12429	139153
164	12499	139012
165	12571	138896
166	12653	138886
167	12728	138796
168	12796	138642
169	12867	138509
170	12946	138479
171	13018	138354
172	13087	138215
173	13163	138137
174	13234	138019
175	13308	137928
176	13382	137831
177	13452	137694
178	13526	137608
179	13598	137492
180	13668	137360
181	13737	137223
182	13806	137079
183	13876	136950
184	13948	136845
185	14017	136709
186	14086	136574
187	14158	136463
188	14233	136382
189	14304	136268
190	14375	136154
191	14447	136051
192	14514	135898
193	14588	135808
194	14659	135697
195	14729	135573
196	14799	135453
197	14868	135320
198	14936	135179
199	15008	135073
200	15080	134971
201	15153	134884
202	15225	134778
203	15293	134646
204	15366	134547
205	15447	134524
206	15521	134447
207	15590	134319
208	15662	134215
209	15732	134100
210	15800	133967
211	15872	133864
212	15944	133765
213	16015	133666
214	16085	133546
215	16157	133445
216	16230	133361
217	16300	133247
218	16371	133139
219	16443	133040
220	16512	132925
221	16589	132865
222	16660	132762
223	16733	132672
224	16798	132522
225	16870	132423
226	16941	132322
227	17015	132244
228	17087	132149
229	17160	132063
230	17228	131937
231	17300	131838
232	17370	131734
233	17443	131647
234	17516	131563
235	17584	131434
236	17653	131318
237	17724	131218
238	17800	131158
239	17869	131043
240	17937	130919
241	18007	130818
242	18078	130714
243	18152	130641
244	18224	130546
245	18292	130424
246	18361	130313
247	18431	130206
248	18501	130106
249	18572	130006
250	18649	129948
251	18721	129860
252	18789	129744
253	18857	129626
254	18925	129508
255	18997	129419
256	19068	129322
257	19141	129242
258	19213	129152
259	19283	129051
260	19351	128939
261	19420	128824
262	19489	128718
263	19561	128630
264	19630	128521
265	19699	128415
266	19771	128326
267	19842	128237
268	19912	128135
269	19980	128024
270	20050	127923
271	20119	127818
272	20191	127733
273	20261	127631
274	20331	127535
275	20403	127448
276	20477	127373
277	20548	127279
278	20615	127165
279	20686	127077
280	20755	126970
281	20825	126872
282	20892	126760
283	20964	126674
284	21032	126561
285	21099	126450
286	21169	126354
287	21239	126257
288	21310	126165
289	21380	126068
290	21450	125977
291	21521	125887
292	21592	125796
293	21663	125708
294	21734	125618
295	21806	125533
296	21875	125433
297	21945	125338
298	22015	125245
299	22088	125165
300	22156	125060
301	22226	124968
302	22297	124880
303	22366	124778
304	22439	124703
305	22509	124610
306	22581	124531
307	22655	124460
308	22727	124375
309	22795	124273
310	22869	124202
311	22944	124134
312	23014	124043
313	23084	123949
314	23155	123861
315	23226	123774
316	23293	123666
317	23364	123580
318	23433	123486
319	23503	123394
320	23572	123295
321	23643	123210
322	23714	123123
323	23786	123042
324	23855	122948
325	23923	122847
326	23995	122763
327	24068	122690
328	24142	122619
329	24214	122541
330	24283	122446
331	24355	122363
332	24423	122266
333	24493	122175
334	24565	122094
335	24634	121996
336	24706	121921
337	24779	121845
338	24851	121766
339	24920	121670
340	24988	121573
341	25058	121482
342	25123	121371
343	25197	121297
344	25281	121276
345	25356	121212
346	25428	121132
347	25501	121059
348	25576	120992
349	25652	120935
350	25727	120867
351	25800	120791
352	25873	120720
353	25942	120625
354	26007	120515
355	26077	120423
356	26144	120321
357	26211	120219
358	26277	120116
359	26346	120024
360	26415	119931
361	26483	119835
362	26548	119726
363	26618	119634
364	26688	119551
365	26761	119475
366	26828	119376
367	26899	119294
368	26967	119198
369	27037	119109
370	27106	119022
371	27175	118929
372	27242	118829
373	27309	118728
374	27378	118641
375	27445	118542
376	27514	118448
377	27582	118357
378	27652	118272
379	27719	118173
380	27788	118084
381	27858	117997
382	27928	117912
383	28002	117844
384	28072	117760
385	28143	117679
386	28213	117591
387	28287	117525
388	28361	117456
389	28427	117353
390	28499	117276
391	28569	117194
392	28640	117113
393	28710	117027
394	28779	116939
395	28847	116846
396	28915	116753
397	28985	116672
398	29057	116593
399	29125	116503
400	29197	116424
401	29265	116332
402	29336	116255
403	29404	116160
404	29469	116058
405	29539	115977
406	29605	115876
407	29674	115788
408	29744	115703
409	29814	115621
410	29884	115539
411	29956	115461
412	30025	115377
413	30095	115292
414	30163	115202
415	30230	115110
416	30300	115026
417	30371	114945
418	30437	114849
419	30507	114764
420	30579	114691
421	30648	114606
422	30716	114514
423	30783	114422
424	30852	114335
425	30925	114263
426	30994	114178
427	31061	114086
428	31130	114000
429	31199	113913
430	31268	113828
431	31337	113741
432	31402	113645
433	31472	113562
434	31535	113454
435	31600	113356
436	31666	113261
437	31737	113183
438	31806	113096
439	31871	113000
440	31940	112915
441	32012	112839
442	32080	112751
443	32149	112669
444	32219	112588
445	32289	112505
446	32357	112420
447	32428	112340
448	32497	112259
449	32567	112177
450	32636	112091
451	32703	112002
452	32771	111915
453	32841	111835
454	32911	111754
455	32976	111658
456	33044	111570
457	33119	111507
458	33190	111430
459	33261	111355
460	33329	111267
461	33399	111186
462	33469	111108
